index,polygon_id,season_year,Wheat_pct,Clover_pct,AlfaAlfa_pct,SugarBeet_pct,winter Vegetables_pct,winter Other_crops_pct
0,2,2022-2023,32.99,37.2,12.78,10.49,5.3,1.24
1,3,2022-2023,31.48,41.92,11.9,9.13,4.54,1.01
2,7,2022-2023,20.02,53.68,12.12,8.58,4.5,1.1
3,5,2022-2023,27.92,37.47,14.32,13.18,5.76,1.36
4,6,2022-2023,14.98,56.29,13.26,9.7,4.55,1.23
5,4,2022-2023,18.64,52.74,13.72,9.48,4.26,1.15
6,1,2022-2023,31.24,38.99,13.57,10.51,4.54,1.15
7,2,2023-2024,32.99,37.2,12.78,10.49,5.3,1.24
8,3,2023-2024,31.48,41.92,11.9,9.13,4.54,1.01
9,7,2023-2024,20.02,53.68,12.12,8.58,4.5,1.1
10,5,2023-2024,27.92,37.47,14.32,13.18,5.76,1.36
11,6,2023-2024,14.98,56.29,13.26,9.7,4.55,1.23
12,4,2023-2024,18.64,52.74,13.72,9.48,4.26,1.15
13,1,2023-2024,31.24,38.99,13.57,10.51,4.54,1.15
